"","name","p","z","n","ptoz","pton","ztop","zton","ntop","ntoz"
"230"," Zambia",1,16,2,1,0,1,1,0,1
"231"," Zimbabwe",1,18,0,1,0,1,0,0,0
"232","Diamond Princess Canada",2,15,2,0,1,1,1,1,1
"233"," Dominica",1,18,0,1,0,1,0,0,0
"234"," Grenada",2,15,2,0,2,2,0,0,2
"235"," Mozambique",1,18,0,0,0,1,0,0,0
"236"," Syria",1,17,1,0,1,1,0,0,1
"237"," Timor-Leste",1,16,2,0,1,0,1,1,1
"238"," Belize",0,17,2,0,0,0,1,0,1
"239"," Laos",2,15,2,0,1,1,1,0,2
"240"," Libya",2,17,0,0,0,1,0,0,0
"241"," West Bank and Gaza",2,16,1,0,1,1,0,0,1
"242"," Guinea-Bissau",3,13,3,0,1,1,1,0,1
"243"," Mali",5,14,0,3,0,3,0,0,0
"244"," Saint Kitts and Nevis",1,15,3,0,1,0,2,1,2
"245","Northwest Territories Canada",1,17,1,1,0,1,1,0,1
"246","Yukon Canada",1,16,2,0,1,1,1,0,2
"247"," Kosovo",2,15,2,2,0,2,1,0,1
"248"," Burma",1,18,0,1,0,1,0,0,0
"249","Anguilla United Kingdom",1,16,2,0,1,1,0,0,1
"250","British Virgin Islands United Kingdom",2,16,1,1,1,2,0,0,1
"251","Turks and Caicos Islands United Kingdom",1,17,1,0,1,1,0,0,1
"252"," MS Zaandam",1,17,1,0,1,1,0,0,1
"253"," Botswana",2,15,2,1,1,2,1,0,2
"254"," Burundi",2,16,1,1,1,1,0,1,0
"255"," Sierra Leone",1,17,1,1,0,1,1,0,1
"256","Bonaire, Sint Eustatius and Saba Netherlands",1,11,7,0,1,1,1,0,1
"257"," Malawi",1,17,1,0,1,1,0,0,0
"258","Falkland Islands (Malvinas) United Kingdom",1,17,1,1,0,1,1,0,1
"259","Saint Pierre and Miquelon France",1,17,1,0,1,1,0,0,1
"260"," South Sudan",2,16,1,0,1,1,0,1,0
"261"," Western Sahara",2,14,3,0,2,2,0,0,2
"262"," Sao Tome and Principe",3,14,2,0,2,2,0,1,1
"263"," Yemen",2,17,0,2,0,2,0,0,0
"264"," Comoros",2,16,1,1,0,1,1,0,0
"265"," Tajikistan",1,17,1,1,0,1,1,0,1
"266"," Lesotho",0,14,5,0,0,0,1,0,0
